202311210853	0	0
202311210853	1	0
202311210853	2	0
202311210853	3	0
202311210853	4	0
202311210853	5	0
202311210853	6	0
202311210853	7	0
202311210853	8	0
202311210853	9	0
202311210853	10	0
202311210853	11	0
202311210853	12	0
202311210853	13	0
202311210853	14	0
202311210853	15	0
202311210853	16	0
202311210853	17	0
202311210853	18	0
202311210853	19	0
202311210853	20	0
202311210853	21	0
202311210853	22	1
202311210853	23	1
202311210853	24	1
202311210853	25	1
202311210853	26	1
202311210853	27	1
202311210853	28	1
